iter	Passed	Remaining
0	247	49291
1	437	43282
2	598	39309
3	756	37089
4	936	36508
5	1105	35733
6	1280	35315
7	1430	34323
8	1610	34183
9	1804	34280
10	1981	34042
11	2167	33950
12	2521	36273
13	2890	38398
14	3254	40133
15	3754	43179
16	4243	45678
17	4761	48141
18	5490	52307
19	6118	55069
20	6904	58855
21	7354	59504
22	7741	59578
23	8143	59720
24	8365	58557
25	8554	57246
26	8759	56128
27	8968	55093
28	9318	54949
29	9924	56239
30	10156	55367
31	10376	54476
32	10586	53575
33	10753	52501
34	10912	51442
35	11090	50524
36	11275	49673
37	11468	48893
38	11689	48256
39	11908	47634
40	12092	46893
41	12311	46315
42	12529	45746
43	12683	44967
44	12819	44155
45	12949	43353
46	13102	42654
47	13371	42343
48	13619	41970
49	13775	41327
50	13935	40712
51	14097	40124
52	14278	39603
53	14492	39182
54	14723	38816
55	14910	38340
56	15087	37851
57	15268	37381
58	15438	36895
59	15582	36358
60	15764	35921
61	15984	35578
62	16162	35146
63	16387	34822
64	16554	34383
65	16746	34000
66	16947	33642
67	17151	33294
68	17348	32937
69	17492	32485
70	17791	32325
71	18405	32720
72	19061	33161
73	19619	33405
74	19893	33156
75	20178	32922
76	20464	32689
77	20700	32378
78	20929	32056
79	21128	31693
80	21369	31395
81	21605	31091
82	21784	30708
83	21979	30352
84	22157	29977
85	22382	29670
86	22576	29323
87	22720	28917
88	22866	28519
89	23043	28163
90	23191	27779
91	23328	27385
92	23484	27020
93	23660	26680
94	23822	26330
95	23967	25964
96	24141	25634
97	24317	25310
98	24531	25027
99	24725	24725
100	24924	24430
101	25105	24120
102	25292	23818
103	25519	23556
104	25655	23212
105	25827	22903
106	25976	22577
107	26172	22295
108	26319	21972
109	26470	21658
110	26604	21331
111	26746	21015
112	26903	20713
113	27036	20395
114	27171	20083
115	27349	19804
116	27485	19498
117	27621	19194
118	27739	18881
119	27871	18581
120	28014	18290
121	28148	17996
122	28325	17732
123	28467	17447
124	28634	17180
125	28802	16915
126	28966	16650
127	29135	16388
128	29282	16116
129	29445	15855
130	29596	15588
131	29903	15405
132	30273	15250
133	30523	15034
134	30744	14802
135	30998	14587
136	31209	14351
137	31452	14130
138	31726	13923
139	31999	13714
140	32222	13483
141	32460	13258
142	32670	13022
143	32857	12777
144	33121	12563
145	33370	12342
146	33641	12129
147	33928	11920
148	34122	11679
149	34300	11433
150	34677	11252
151	34935	11032
152	35202	10813
153	35467	10594
154	35629	10344
155	35790	10094
156	35952	9846
157	36116	9600
158	36275	9354
159	36424	9106
160	36630	8873
161	36808	8634
162	36956	8388
163	37131	8150
164	37281	7908
165	37456	7671
166	37598	7429
167	37759	7192
168	37925	6956
169	38102	6723
170	38237	6484
171	38431	6256
172	38571	6019
173	38796	5797
174	38991	5570
175	39120	5334
176	39323	5109
177	39557	4889
178	39755	4664
179	40004	4444
180	40226	4222
181	40432	3998
182	40645	3775
183	41132	3576
184	41443	3360
185	41761	3143
186	42357	2944
187	43247	2760
188	43573	2536
189	43944	2312
190	44385	2091
191	44779	1865
192	45259	1641
193	45599	1410
194	45910	1177
195	46286	944
196	46650	710
197	46843	473
198	46995	236
199	47191	0
